Source,Target,Type,Id,Label,timeset,Weight,partition
1391,71384,Undirected,1445,,,1,1
1391,53907,Undirected,1444,,,1,1
1391,45212,Undirected,1442,,,1,1
19002,1391,Undirected,20447,,,1,1
1394,72713,Undirected,1453,,,1,1
1396,20489,Undirected,1455,,,1,1
1396,6290,Undirected,1454,,,1,1
1401,107399,Undirected,1456,,,1,1
1408,104574,Undirected,1457,,,1,1
1410,104091,Undirected,1459,,,1,1
1427,50398,Undirected,1466,,,1,1
1444,104570,Undirected,1478,,,1,1
1444,90344,Undirected,1477,,,1,1
1444,77397,Undirected,1476,,,1,1
1444,66659,Undirected,1475,,,1,1
1444,61515,Undirected,1474,,,1,1
1444,53939,Undirected,1473,,,1,1
1459,110384,Undirected,1490,,,1,1
1464,107754,Undirected,1491,,,1,1
52507,1470,Undirected,52633,,,1,2
1476,110382,Undirected,1500,,,1,1
1476,61271,Undirected,1499,,,1,1
1495,9405,Undirected,1518,,,1,1
1497,66854,Undirected,1519,,,1,2
1521,112428,Undirected,1531,,,1,1
1521,109946,Undirected,1530,,,1,1
1521,106651,Undirected,1529,,,1,1
1521,41491,Undirected,1528,,,1,1
113432,1521,Undirected,90049,,,1,1
112428,1521,Undirected,89773,,,1,1
60669,1521,Undirected,59306,,,1,1
41491,1521,Undirected,41676,,,1,1
1522,94489,Undirected,1532,,,1,1
1535,21080,Undirected,1535,,,1,1
1537,102193,Undirected,1537,,,1,1
80197,1537,Undirected,70834,,,1,1
31055,1537,Undirected,32374,,,1,1
1556,35409,Undirected,1564,,,1,1
1556,3093,Undirected,1563,,,1,1
1558,58618,Undirected,1566,,,1,1
1558,6628,Undirected,1565,,,1,1
1568,67175,Undirected,1582,,,1,1
1568,63037,Undirected,1581,,,1,1
1568,63015,Undirected,1580,,,1,1
63015,1568,Undirected,60778,,,1,1
1575,56690,Undirected,1585,,,1,1
1616,110614,Undirected,1595,,,1,1
1620,71790,Undirected,1623,,,1,1
1620,71787,Undirected,1622,,,1,1
1623,1645,Undirected,1625,,,1,1
1630,83331,Undirected,1637,,,1,1
1630,73794,Undirected,1636,,,1,1
1630,64135,Undirected,1635,,,1,1
1630,55184,Undirected,1634,,,1,1
