Id,Label,timeset,partition
3145,3145,,Vicenza
3147,3147,,Vicenza
3148,3148,,Vicenza
3150,3150,,Padova
3152,3152,,Vicenza
3153,3153,,Vicenza
3155,3155,,Vicenza
3156,3156,,Padova
3165,3165,,Vicenza
3167,3167,,Padova
3188,3188,,Padova
3190,3190,,Padova
3193,3193,,Padova
3194,3194,,Padova
3196,3196,,Vicenza
3197,3197,,Padova
3200,3200,,Padova
3201,3201,,Vicenza
3203,3203,,Vicenza
3209,3209,,Vicenza
3219,3219,,Padova
3221,3221,,Vicenza
3222,3222,,Vicenza
3223,3223,,Vicenza
3226,3226,,Vicenza
3229,3229,,Vicenza
3230,3230,,Vicenza
3231,3231,,Vicenza
3238,3238,,Padova
3240,3240,,Vicenza
3252,3252,,Padova
3253,3253,,Vicenza
3254,3254,,Padova
3255,3255,,Padova
3257,3257,,Padova
3259,3259,,Padova
3262,3262,,Vicenza
3263,3263,,Padova
3266,3266,,Padova
3267,3267,,Padova
3278,3278,,Padova
3285,3285,,Padova
3289,3289,,Padova
3290,3290,,Padova
3292,3292,,Padova
3294,3294,,Vicenza
3300,3300,,Vicenza
3303,3303,,Padova
3313,3313,,Padova
3329,3329,,Vicenza
3333,3333,,Padova
3339,3339,,Padova
3343,3343,,Vicenza
3351,3351,,Padova
3354,3354,,Vicenza
3364,3364,,Vicenza
3366,3366,,Padova
3373,3373,,Padova
3374,3374,,Padova
3384,3384,,Vicenza
3385,3385,,Padova
3386,3386,,Vicenza
3388,3388,,Padova
3390,3390,,Padova
3391,3391,,Padova
3392,3392,,Padova
3394,3394,,Padova
3397,3397,,Padova
3399,3399,,Padova
3401,3401,,Padova
3403,3403,,Padova
3404,3404,,Padova
3406,3406,,Vicenza
3408,3408,,Padova
3410,3410,,Vicenza
3413,3413,,Padova
3414,3414,,Padova
3419,3419,,Padova
3425,3425,,Padova
3429,3429,,Padova
3432,3432,,Padova
3434,3434,,Vicenza
3440,3440,,Padova
3442,3442,,Vicenza
3444,3444,,Padova
3452,3452,,Padova
3453,3453,,Padova
3461,3461,,Padova
3462,3462,,Padova
3464,3464,,Padova
